dataset_name,video_id,video_name,participant_id,game,session_id,annotation_file,schema_columns,available_labels,arousal_available,valence_available,label_level,aggregate_labels_available,rows,missing_arousal,nonfinite_arousal,min_arousal,max_arousal,mean_arousal,label_scale,label_type,min_timestamp_seconds,max_timestamp_seconds,annotation_duration_seconds,median_sample_delta_seconds,sampling_rate_hz_estimate,duplicated_timestamps,missing_timestamps,timestamp_monotonic_after_sort,metadata_present,video_exists_from_metadata
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_apex_66C975E5-1923-3B80-D878-B22DD8D38480.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,ApexSpeed,66C975E5-1923-3B80-D878-B22DD8D38480,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,492,0,0,0.0,1.0,0.7369832209654472,"session-normalized approximately [0,1]",continuous,0.1247,122.8533,122.7286,0.25799999999999557,3.8759689922481284,19,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_endless_F00C622C-374A-4F8D-65A0-CFBDA1922336.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Endless,F00C622C-374A-4F8D-65A0-CFBDA1922336,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,492,0,0,0.0,1.0,0.32484030185569107,"session-normalized approximately [0,1]",continuous,0.0,122.7745,122.7745,0.25200000000000955,3.968253968253818,5,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_fps_58DFAAA7-CA39-6D86-85B8-3D92D16D053D.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Heist!,58DFAAA7-CA39-6D86-85B8-3D92D16D053D,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,491,0,0,0.0,1.0,0.4757123550753564,"session-normalized approximately [0,1]",continuous,0.0,122.7082,122.7082,0.25794999999999924,3.8767202946307537,17,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_platform_B44BAC2E-8878-280A-3DAD-C4185CE4F146,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_platform_B44BAC2E-8878-280A-3DAD-C4185CE4F146.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Pirates!,B44BAC2E-8878-280A-3DAD-C4185CE4F146,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,406,0,0,0.0,1.0,0.5041292378251231,"session-normalized approximately [0,1]",continuous,0.12425,101.2782,101.15395,0.25560000000000116,3.912363067292627,11,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gun_7A9B13DD-E727-A202-8E1B-C1385EC66897,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gun_7A9B13DD-E727-A202-8E1B-C1385EC66897.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Run'N'Gun,7A9B13DD-E727-A202-8E1B-C1385EC66897,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,507,0,0,0.0,1.0,0.46829009269822486,"session-normalized approximately [0,1]",continuous,0.0,126.5927,126.5927,0.25900000000000034,3.861003861003856,29,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_gallery_67455A88-8A7E-677D-72C2-B9E2DE7522E2.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Shootout,67455A88-8A7E-677D-72C2-B9E2DE7522E2,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,488,0,0,0.0,1.0,0.3979348198565574,"session-normalized approximately [0,1]",continuous,0.0,121.79737,121.79737,0.2568999999999999,3.8925652004671094,13,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_solid_015529D9-2867-69C8-9C53-CFA6FDCE54A5.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,Solid,015529D9-2867-69C8-9C53-CFA6FDCE54A5,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,492,0,0,0.0,1.0,0.5553523035142276,"session-normalized approximately [0,1]",continuous,0.0,122.80104,122.80104,0.2571000000000012,3.889537145079717,15,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_tiny_5B9AB402-CB0C-EDC0-075C-4B14C87815F2.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,TinyCars,5B9AB402-CB0C-EDC0-075C-4B14C87815F2,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,486,0,0,0.0,1.0,0.7054139275514403,"session-normalized approximately [0,1]",continuous,0.0,121.479,121.479,0.25509999999999877,3.920031360250901,9,0,True,True,True
AGAIN_cleaned,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,018B0D8D-B5EC-09D6-90ED-550058EBFEAF_topdown_7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3.webm,018B0D8D-B5EC-09D6-90ED-550058EBFEAF,TopDown,7ABFC2E7-D3E9-AEB6-4875-B73D39D71CF3,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,494,0,0,0.0,1.0,0.7863045066153845,"session-normalized approximately [0,1]",continuous,0.0,123.3047,123.3047,0.25799999999999557,3.8759689922481284,21,0,True,True,True
AGAIN_cleaned,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016,06F9F8CE-9696-23CA-25B5-000AA4A793BA_apex_D8D1E0BD-1930-7CBF-3458-776CEA670016.webm,06F9F8CE-9696-23CA-25B5-000AA4A793BA,ApexSpeed,D8D1E0BD-1930-7CBF-3458-776CEA670016,annotations/clean_data.csv,121,arousal,True,False,participant_session,False,492,0,0,0.0,1.0,0.6334688346747966,"session-normalized approximately [0,1]",continuous,0.0,122.8621,122.8621,0.2610000000000099,3.8314176245209275,27,0,True,True,True
