baseline,pr_auc_spike,spearman_continuous,top_5pct_continuous_lift,abs_pr_auc_gap_to_frozen,abs_top5_lift_gap_to_frozen
frozen_ar_score_mean_5seed,0.266978336129878,0.21096683150833384,0.09620103174322868,0.0,0.0
current_arousal,0.07701771255036619,-0.09930192831696273,-0.05084091457490149,0.1899606235795118,0.14704194631813017
low_current_arousal_negated,0.16310965485099424,0.09930192831696273,0.03000030062739288,0.10386868127888374,0.0662007311158358
previous_row_arousal,0.07587795668002302,-0.12408030657097403,-0.04941401619349535,0.19110037944985497,0.14561504793672403
low_previous_row_arousal_negated,0.17036658277035932,0.12408030657097403,0.03346086687175587,0.09661175335951866,0.06274016487147281
trailing_2s_mean_arousal,0.07564140406435033,-0.12669392276501115,-0.05056717822224488,0.19133693206552765,0.14676820996547357
low_trailing_2s_mean_arousal_negated,0.16725036703042573,0.12669392276501115,0.027776121829485356,0.09972796909945225,0.06842490991374332
trailing_4s_mean_arousal,0.07551458235197538,-0.13915285141407643,-0.04975351232770362,0.1914637537779026,0.1459545440709323
low_trailing_4s_mean_arousal_negated,0.16711029225094326,0.13915285141407643,0.02252396420563063,0.09986804387893472,0.07367706753759805
recent_arousal_slope_delta,0.1705864854836886,0.29491236165109797,0.063586819857695,0.09639185064618938,0.03261421188553368
negative_recent_arousal_slope_delta,0.10563563767549747,-0.29491236165109797,0.0094325791302911,0.1613426984543805,0.08676845261293759
time_seconds_only,0.1264513379400848,0.015231809998231196,0.01264203068644043,0.14052699818979317,0.08355900105678825
video_relative_time_only,0.12340282410287706,0.021085873109529817,0.00788659969117838,0.14357551202700092,0.0883144320520503
per_video_train_base_rate_only,0.20455189751689865,-0.05119534998489925,0.04924900115947797,0.062426438612979335,0.046952030583750706
train_only_video_mean_continuous_only,0.19390284116797835,0.0067788184556823875,0.05630501114603208,0.07307549496189963,0.0398960205971966
