target_name,seed,control_type,frozen_ar_train_checksum,frozen_ar_test_checksum,same_ar_as_reference
future_arousal_max_delta_rows_4_10_train_q90,20260625,real_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260625,shuffled_pca_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260625,random_pca_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260625,label_permutation_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260625,train_only_video_mean_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260625,diagnostics_only_residual,80b73ff09d687b0403448d5d4b12d354,4c29fe54a12048766664509ef4a8eeaf,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,real_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,shuffled_pca_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,random_pca_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,label_permutation_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,train_only_video_mean_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260626,diagnostics_only_residual,8c145fe32821998ff8d171e00b30b504,d64261eb354b770bd0e2a65efb381840,True
future_arousal_max_delta_rows_4_10_train_q90,20260627,real_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
future_arousal_max_delta_rows_4_10_train_q90,20260627,shuffled_pca_residual,1f3a5ab9ef9ee64f210057d3e89fcdb7,718b7d93a3fdf86db53ce0f5e5a3e6a6,True
